Key,Item Type,Publication Year,Author,Title,Publication Title,Date,Num Pages,Short Title,Publisher,Place,Geocode,Library Catalog,Call Number,Extra,Link Attachments,Manual Tags,Automatic Tags
ZIY2HQFV,webpage,,,10 remarkable Earth facts,,2023,,10 remarkable Earth facts,,United Kingdom,"54.7023545,-3.2765753",,,,,web,Curiosities and wonders
5LS6DIQP,webpage,2024,,101 random fun facts that will blow your mind,BBC Science Focus Magazine,2024,,101 random fun facts that will blow your mind,,United Kingdom,"54.7023545,-3.2765753",,,,,web,Curiosities and wonders
BL8SRBBS,webpage,2024,"Christian, Elise",50 fascinating facts about the world,Rest Less,2024,,50 fascinating facts about the world,,United Kingdom,"54.7023545,-3.2765753",,,,,web,Curiosities and wonders
4I946D3Y,webpage,,,The World Factbook - The World Factbook,,,,The World Factbook - The World Factbook,,"Langley, VA","38.9464996,-77.1588685",,,,,web,Curiosities and wonders
Z3HBI87H,book,2017,"Hawkins, Emily; Leatherland, Lucy",Atlas of miniature adventures,,2017,64,,Wide Eyed Editions,New York,"40.7127281,-74.0060152",Library Catalog (Blacklight),AG244 .H28 2017,OCLC: 953631500,https://catalog.libraries.psu.edu/catalog/24437083,,Adventure and adventurers; Atlases; Children's atlases; Curiosities and wonders; Juvenile literature; Juvenile works; Miniature objects; Puzzles
3UTIBVKY,book,2007,,The knowledgebook: everything you need to know to get by in the 21st century,,2007,512,The knowledgebook,National Geographic Society,"Washington, D.C","38.8950368,-77.0365427",Library Catalog (Blacklight),AG6 .K66 2007,OCLC: 148858277,https://catalog.libraries.psu.edu/catalog/9368762,interlibrary,Encyclopedias and dictionaries
R4EISATK,book,1986,"Urdang, Laurence; Facts on File, Inc",The Facts on File dictionary of numerical allusions,,1986,324,,Facts on File Publications,"New York, N.Y","40.7127281,-74.0060152",Library Catalog (Blacklight),AG5 .U73 1986,,https://catalog.libraries.psu.edu/catalog/1071699,interlibrary,"Dictionaries; English language; Glossaries, vocabularies, etc; Numbers, Natural; Symbolism of numbers"
T9V4LDYX,book,2004,,Scholastic children's encyclopedia,,2004,710,,Scholastic Reference,New York,"40.7127281,-74.0060152",Library Catalog (Blacklight),AG5 .S36 2004,OCLC: 52038991,https://catalog.libraries.psu.edu/catalog/2808670,interlibrary,Encyclopedias and dictionaries; Children's encyclopedias and dictionaries
I4F5JR4F,book,1934,"Peyser, Ethel R.",The book of culture: the basis of a liberal education,,1934,780,The book of culture,Garden City publishing company,"Garden City, N.Y","40.7266477,-73.6343052",Library Catalog (Blacklight),,,https://catalog.libraries.psu.edu/catalog/626277,interlibrary,Encyclopedias and dictionaries; Self-culture
88DJN9DR,book,1889,"Reddall, Henry Frederic","Fact, fancy, and fable: a new handbook for ready reference on subjects commonly omitted from cyclopaedias; comprising personal sobriquets, familiar phrases, popular appellations, geographical nicknames, literary pseudonyms, mythological characters, red-letter days, political slang, contractions and abbreviations, technical terms, foreign words and phrases, Americanisms, etc",,1889,536,"Fact, fancy, and fable","A. C. McClurg, Gale Research Co",Detroit,"42.3315509,-83.0466403",Library Catalog (Blacklight),AG5 .R4 1968,,https://catalog.libraries.psu.edu/catalog/1324731,interlibrary,English language; Terms and phrases
