"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"ZIY2HQFV","webpage","","","10 remarkable Earth facts","","","","","https://www.esa.int/Applications/Observing_the_Earth/10_remarkable_Earth_facts","Every year on 22 April, we’ve celebrated Earth Day&nbsp;and the&nbsp;beautiful planet we call home. Earth Day, established in 1970, has been used to highlight our planet’s environmental challenges and raise awareness of the importance of protecting our world for future generations. But shouldn’t every day be Earth Day? We only have one beautiful planet after all.&nbsp;We hope you enjoy this curated list of 10 of the most remarkable facts about Earth.&nbsp;Scroll to the end of the article to take part in ESA's 'You like, we plant' campaign.","","2025-03-24 19:00:11","2025-03-24 19:00:15","2025-03-24 19:00:11","","","","","","","","","","","","","","en","","","","","","","","","C:\Users\ejb6341\Zotero\storage\QQMY2V8L\10_remarkable_Earth_facts.html","","web","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5LS6DIQP","webpage","2024","","101 random fun facts that will blow your mind","BBC Science Focus Magazine","","","","https://www.sciencefocus.com/science/fun-facts","Our collection of the best and most random interesting trivia covers animals, biology, geography, space, history, the world and much more.","2024-02-23","2025-03-24 18:59:38","2025-03-24 18:59:43","2025-03-24 18:59:38","","","","","","","","","","","","","","en","","","","","","","","","","","web","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BL8SRBBS","webpage","2024","Christian, Elise","50 fascinating facts about the world","Rest Less","","","","https://restless.co.uk/leisure-and-lifestyle/learning/fascinating-facts-about-the-world/","While we might not always think about just how remarkable our planet is, it’s big, beautiful, and full of surprises – with endless learning opportunities. So whether you’re in a curious mood, looking for some trivia to inspire your next adventure, or want to pick up some new facts to share with friends and family,","2024-03-11","2025-03-24 18:58:30","2025-03-24 18:58:34","2025-03-24 18:58:30","","","","","","","","","","","","","","en-GB","","","","","","","","","C:\Users\ejb6341\Zotero\storage\SZIQ4JIR\fascinating-facts-about-the-world.html","","web","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4I946D3Y","webpage","","","The World Factbook - The World Factbook","","","","","https://www.cia.gov/the-world-factbook/","","","2025-03-24 18:55:54","2025-03-24 18:57:07","2025-03-24 18:55:54","","","","","","","","","","","","","","","","","","","","","","","","","web","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Z3HBI87H","book","2017","Hawkins, Emily; Leatherland, Lucy","Atlas of miniature adventures","","978-1-84780-910-0","","","","Discover the world's smallest adventures with this beautifully illustrated journey around the world from the award-winning team behind Atlas of Adventures. Explore seven continent maps and learn about the best small-scale adventures on Earth - whether you're taking a ride on the world's largest miniature railway, sending a letter with the world's smallest post office or cruising coral reefs with the smallest seahorse, this book brings together the best miniature adventures from the four corners of the globe","2017","2025-03-24 18:52:03","2025-03-24 18:52:03","","","64","","","","","","Atlas of adventures","","","","Wide Eyed Editions","New York","","","","","","Library Catalog (Blacklight)","AG244 .H28 2017","OCLC: 953631500","","","https://catalog.libraries.psu.edu/catalog/24437083","","Adventure and adventurers; Atlases; Children's atlases; Curiosities and wonders; Juvenile literature; Juvenile works; Miniature objects; Puzzles","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3UTIBVKY","book","2007","","The knowledgebook: everything you need to know to get by in the 21st century","","978-1-4262-0124-0 978-1-4262-0265-0","","","","A comprehensive, visual reference, enhanced by two thousand photographs and illustrations, provides information on all major fields of knowledge and includes timelines, sidebars, cross-references, and other useful features","2007","2025-03-24 18:47:32","2025-03-24 18:47:35","","","512","","","","","The knowledgebook","","","","","National Geographic Society","Washington, D.C","","","","","","Library Catalog (Blacklight)","AG6 .K66 2007","OCLC: 148858277","","","https://catalog.libraries.psu.edu/catalog/9368762","interlibrary","Encyclopedias and dictionaries","Wallechinsky, David","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"R4EISATK","book","1986","Urdang, Laurence; Facts on File, Inc","The Facts on File dictionary of numerical allusions","","978-0-8160-1300-5","","","","","1986","2025-03-24 18:47:12","2025-03-24 18:47:15","","","324","","","","","","","","","","Facts on File Publications","New York, N.Y","","","","","","Library Catalog (Blacklight)","AG5 .U73 1986","","","","https://catalog.libraries.psu.edu/catalog/1071699","interlibrary","Dictionaries; English language; Glossaries, vocabularies, etc; Numbers, Natural; Symbolism of numbers","","","","Facts on File, Inc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"T9V4LDYX","book","2004","","Scholastic children's encyclopedia","","978-0-439-43816-2","","","","Presents brief articles on a wide variety of topics from Abolition Movement and Earthquakes to Prehistoric Peoples and Zoology","2004","2025-03-24 18:46:54","2025-03-24 18:46:57","","","710","","","","","","","","","","Scholastic Reference","New York","","","","","","Library Catalog (Blacklight)","AG5 .S36 2004","OCLC: 52038991","","","https://catalog.libraries.psu.edu/catalog/2808670","interlibrary","Encyclopedias and dictionaries; Children's encyclopedias and dictionaries","Scholastic Inc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"I4F5JR4F","book","1934","Peyser, Ethel R.","The book of culture: the basis of a liberal education","","","","","","","1934","2025-03-24 18:46:33","2025-03-24 18:46:36","","","780","","","","","The book of culture","","","","","Garden City publishing company","Garden City, N.Y","","","","","","Library Catalog (Blacklight)","","","","","https://catalog.libraries.psu.edu/catalog/626277","interlibrary","Encyclopedias and dictionaries; Self-culture","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"88DJN9DR","book","1889","Reddall, Henry Frederic","Fact, fancy, and fable: a new handbook for ready reference on subjects commonly omitted from cyclopaedias; comprising personal sobriquets, familiar phrases, popular appellations, geographical nicknames, literary pseudonyms, mythological characters, red-letter days, political slang, contractions and abbreviations, technical terms, foreign words and phrases, Americanisms, etc","","","","","","","1889","2025-03-24 18:46:17","2025-03-24 18:46:21","","","536","","","","","Fact, fancy, and fable","","","","","A. C. McClurg, Gale Research Co","Chicago : Detroit","","","","","","Library Catalog (Blacklight)","AG5 .R4 1968","","","","https://catalog.libraries.psu.edu/catalog/1324731","interlibrary","English language; Terms and phrases","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
